brand,model,category,stability,cushioning,stack_heel_mm,drop_mm,weight_g,widths,toebox,plate,best_for,heavier_runner_ok,beginner_friendly,durability,rrp_gbp,retailer,retailer_url,awin_mid,wg_programid,partnerize_camref,discount_percent,discount_code,affiliate_url,image_url,review_url,one_liner,status
On,Cloudmonster 3,max_cushion,neutral,plush,40,6,295,standard,medium,nylon,easy_miles;long_run;comfort;speed_work,yes,yes,high,180,SportsShoes,https://www.sportsshoes.com/product/onr857/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92996/524500/ONR857_1000_1__21157.1786544221.jpg,https://runrepeat.com/uk/on-cloudmonster-3,"Big, bouncy and fun underfoot, good for easy miles when your legs feel heavy.",current
On,Cloudrunner 3,stability,mild_support,balanced,31,8,311,standard;wide,medium,none,easy_miles;first_shoe;walking,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/onr867/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92982/524422/ONR867_1000_1__33003.1786533435.jpg,https://runrepeat.com/uk/on-cloudrunner-3,"Steady, supportive and forgiving, a safe first proper running shoe for most people.",current
On,Cloudboom Strike 2,race,neutral,plush,40,4,191,standard,medium,carbon,speed_work;race_day,no,no,low,230,SportsShoes,https://www.sportsshoes.com/product/onr1002/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92387/520230/ONR1002_1000_1__62474.1785226624.jpg,,Very light carbon plated racer built for going fast on race day.,current
Puma,Velocity Nitro 5,daily_trainer,neutral,balanced,33,8,244,standard,medium,none,easy_miles;first_shoe;walking;gym,yes,yes,high,110,SportsShoes,https://www.sportsshoes.com/product/pum3144/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91749/515853/PUM3144_1000_1__68832.1783523812.jpg,,Brilliant value all rounder that does easy runs and faster days without fuss.,current
Puma,Deviate Nitro 4,tempo,neutral,balanced,38,8,250,standard,medium,carbon,easy_miles;long_run;speed_work;race_day,yes,no,high,150,SportsShoes,https://www.sportsshoes.com/product/pum2928/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/85506/472346/PUM2928_1000_1__58222.1768911691.jpg,https://runrepeat.com/uk/puma-deviate-nitro-4,"One shoe that handles long runs, faster sessions and a half marathon happily.",current
Puma,MagMax Nitro 2,max_cushion,neutral,plush,46,8,270,standard,medium,none,easy_miles;long_run;comfort;walking;gym,yes,yes,medium,170,SportsShoes,https://www.sportsshoes.com/product/pum3136/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91387/513398/PUM3136_1000_1__67460.1782811051.jpg,https://runrepeat.com/uk/puma-mag-max-nitro-2,"Loads of soft foam underfoot, so long slow miles feel a lot kinder.",current
Puma,ForeverRun Nitro 3,stability,stability,balanced,38,8,290,standard,medium,none,easy_miles;long_run;first_shoe;walking,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/pum3142/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92537/521325/PUM3142_1000_1__80331.1785417561.jpg,,Firm rim around soft foam keeps wobbly ankles in line on longer runs.,current
Puma,Fast-R Nitro Elite 3,race,neutral,plush,40,8,170,standard,narrow,carbon,speed_work;race_day,no,no,low,260,SportsShoes,https://www.sportsshoes.com/product/pum3113/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92536/521306/PUM3113_1000_1__64105.1785417561.jpg,https://runrepeat.com/uk/puma-fast-r-nitro-elite-3,Feather light race shoe for runners chasing a personal best over 10k or more.,current
Mizuno,Wave Rider 30,daily_trainer,neutral,balanced,42,8,265,standard;wide,medium,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/miz6722/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/90926/509930/MIZ6722_1000_1__05726.1781608713.png,,Dependable everyday trainer that lasts well and rarely gives anyone trouble.,current
Mizuno,Wave Inspire 22,stability,stability,balanced,38,10,293,standard;wide,medium,none,easy_miles;long_run;first_shoe;walking,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/miz6734/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92456/520759/MIZ6734_1000_1__26021.1785316613.jpg,https://runrepeat.com/uk/mizuno-wave-inspire-22,"Classic support shoe for feet that roll inwards, tough and built to last.",current
Mizuno,Wave Sky 9,max_cushion,neutral,plush,44,6,295,standard,medium,none,easy_miles;long_run;comfort;walking,yes,yes,high,165,SportsShoes,https://www.sportsshoes.com/product/miz6717/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92472/520921/MIZ6717_1000_1__06813.1785327428.jpg,https://runrepeat.com/uk/mizuno-wave-sky-9,"Thick, soft and protective, a comfy pick for recovery runs and long days.",current
Mizuno,Neo Vista 3,tempo,neutral,plush,44,8,265,standard,medium,nylon,easy_miles;long_run;speed_work,yes,no,medium,150,SportsShoes,https://www.sportsshoes.com/product/miz6720/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92455/520752/MIZ6720_1000_1__71454.1785316613.jpg,https://runrepeat.com/uk/mizuno-neo-vista-3,"Tall stack with a plate, so long runs roll along quicker than expected.",current
Altra,Torin 9,daily_trainer,neutral,balanced,28,0,269,standard;wide,wide,none,easy_miles;walking;gym,yes,no,medium,135,SportsShoes,https://www.sportsshoes.com/product/alt1022/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91627/514951/ALT1022_1000_1__86350.1783426630.jpg,,"Roomy toes and a completely flat platform, ease into it over a few weeks.",current
Altra,Experience Flow 3,daily_trainer,neutral,balanced,32,4,255,standard,wide,none,easy_miles;first_shoe;walking;gym,yes,yes,medium,130,SportsShoes,https://www.sportsshoes.com/product/alt1012/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91625/514935/ALT1012_1000_1__46359.1783419553.jpg,https://runrepeat.com/uk/altra-experience-flow-3,"Wide toe room with a small heel lift, the friendliest way into Altra.",current
Altra,Lone Peak 9+,trail,neutral,balanced,25,0,327,standard;wide,wide,none,trail;easy_miles,yes,no,high,130,SportsShoes,https://www.sportsshoes.com/product/alt1050/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91559/514574/ALT1050_1000_1__88080.1783077486.png,,Cult trail shoe with masses of toe room and grippy Vibram rubber underneath.,current
Salomon,Speedcross 6,trail,neutral,firm,32,10,298,standard;wide,narrow,none,trail;easy_miles,yes,yes,high,140,SportsShoes,https://www.sportsshoes.com/product/sal7130/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/91889/516905/SAL7130_1000_1__71679.1783952126.jpg,https://runrepeat.com/uk/salomon-speedcross-6,"Deep lugs that bite into mud, ideal for wet British winter trails.",current
Salomon,Ultra Glide 4,trail,neutral,plush,38,6,285,standard,medium,none,trail;easy_miles;long_run,yes,yes,medium,135,SportsShoes,https://www.sportsshoes.com/product/sal7134/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92050/518034/SAL7134_1000_1__63431.1784197137.jpg,https://runrepeat.com/uk/salomon-ultra-glide-4,"Salomon's softest trail shoe, made for long days out when comfort matters most.",current
Topo Athletic,Ultrafly 6,stability,mild_support,balanced,32,5,272,standard,wide,none,easy_miles;first_shoe;walking;gym,yes,yes,medium,135,SportsShoes,https://www.sportsshoes.com/product/top53/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/88992/496060/TOP53_1000_1__86672.1776176173.jpg,https://runrepeat.com/uk/topo-ultrafly-6,"Gentle support with a wide front end, handy if your feet need space.",current
Topo Athletic,Magnifly 6,daily_trainer,neutral,firm,26,0,255,standard,wide,none,easy_miles;gym,no,no,medium,125,SportsShoes,https://www.sportsshoes.com/product/top46/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/89805/501287/TOP46_1000_1__87840.1777630574.jpg,,"Flat, low and close to the ground with plenty of room for your toes.",current
Topo Athletic,Atmos 2,max_cushion,neutral,plush,40,5,272,standard,wide,none,easy_miles;long_run;comfort;first_shoe;walking;gym,yes,yes,medium,155,SportsShoes,https://www.sportsshoes.com/product/top35/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/88999/496132/TOP35_1000_1__38497.1776179938.jpg,https://runrepeat.com/uk/topo-atmos-2,"Very soft and roomy up front, a rare mix of max cushion and toe space.",current
Under Armour,Velociti Pace,daily_trainer,neutral,balanced,34,8,249,standard,medium,none,easy_miles;first_shoe;walking;gym,yes,yes,medium,100,SportsShoes,https://www.sportsshoes.com/product/und9687/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92197/519065/UND9687_1000_1__92556.1784636358.jpg,,"Light, simple and keenly priced, a solid choice for regular training runs.",current
Under Armour,Velociti Distance,max_cushion,mild_support,plush,38,6,297,standard,medium,none,easy_miles;long_run;comfort;first_shoe;walking,yes,yes,medium,145,SportsShoes,https://www.sportsshoes.com/product/und9690/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/92276/519479/UND9690_1000_1__41868.1784809195.jpg,,"Cushioned and steady, built for slow long runs rather than anything quick.",current
Inov8,Mudtalon Speed v2,trail,neutral,firm,17,4,266,narrow;standard,medium,none,trail;easy_miles,no,no,medium,130,SportsShoes,https://www.sportsshoes.com/product/ino2607/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/83233/454414/INO2607_1000_1__26034.1760451742.jpg,,"Made for proper mud, cross country and fell races where grip beats comfort.",current
Inov8,Trailfly Max v2,trail,neutral,plush,30,6,300,standard;wide,wide,none,trail;easy_miles,yes,yes,medium,150,SportsShoes,https://www.sportsshoes.com/product/ino2622/,,,,,,,https://cdn11.bigcommerce.com/s-21x65e8kfn/images/stencil/original/products/84155/464013/INO2622_1000_8__86878.1764606006.jpg,,"The comfiest inov8, soft enough for all day hill days and long trail runs.",current
